"Number","Material Description (Name)","Number (Relationships.Formulation.Title Block)","SBU Category (Relationships.Formulation.Formulation Attributes)","Dossier Type (Relationships.Formulation.Formulation Attributes)","Lifecycle Phase (Relationships.Formulation.Title Block)","Lifecycle Phase","Triangulated (Page Two)","Marketed Countries (Page Three)","Country lead cluster","Region","Primary Pack Type (Page Three)","FG Pack Size (Page Three)","FG Pack Size UoM (Page Three)","Created on (Page Two)","Year created","Repack","SBU Category","Brand","UI","UI Description","Galenical form","Volume 4","Volume 3","Volume 2","Class of goods","Primary Pack Type (Page Three)","FG Pack Size (Page Three)","FG Pack Size UoM (Page Three)","Roman Number","Low performer","Samples","Galenical form","Combipack (Page Three)"
"10021595","BPN CREA 5%/0 ALU TUBE COLL 30G PE","1600188","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Peru [PE]","Peru","LATAM","Tube Flexible","30","Gram [G]","","","NO","Dermatology","BEPANTHEN","1600188","BEPANTHEN 5 % Cream","Semi-solid|Cream","  689 ","  820 ","  922 ","SG (Sales Goods)","Tube Flexible","30","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"10011719","LAROTABE caps 30 AR","1601228","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","REDOXON","1601228","REDOXON Larotabe Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  45 ","  48 ","  44 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"10060871","BPN OINT 5%/0 ALU TUBE COLL 100G MX","1600198","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Tube Flexible","100","Gram [G]","","","NO","Dermatology","BEPANTHEN","1600198","BEPANTHEN 5 % Ointment","Semi-solid|Ointment","  1,300 ","  1,628 ","  1,414 ","SG (Sales Goods)","Tube Flexible","100","Gram [G]","IX","","NO","Semi-solid|Ointment","No"
"80201601","BECOZYM grag x30 AR","1600127","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","BECOZYM","1600127","BECOZYM Forte Sugar-coated Tablet","Solid|Tablet|Sugar-coated","  120 ","  115 ","  112 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Sugar-coated","No"
"10067984","BEROCCA PLUS laq x30 AR","1600119","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","BEROCCA","1600119","BEROCCA Ca & Mg, Zn Film-coated Tablet","Solid|Tablet|Film-coated","  110 ","  140 ","  144 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"10054938","LAROTABE cap x60 CL","1601228","Nutritionals","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Blister","60","Piece [PCE]","","","NO","Nutritionals","REDOXON","1601228","REDOXON Larotabe Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  9 ","  9 ","  8 ","SG (Sales Goods)","Blister","60","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"10056112","REDOXON LI ef x30 AR/PY","1600105","Nutritionals","Pharma","Active","Active","No","Argentina [AR];Paraguay [PY]","Argentina","LATAM","Tube Rigid","30","Piece [PCE]","","","NO","Nutritionals","REDOXON","1600105","REDOXON 2000 mg Effervescent Tablet","Solid|Tablet|Effervescent","  650 ","  640 ","  705 ","SG (Sales Goods)","Tube Rigid","30","Piece [PCE]","VI","X","NO","Solid|Tablet|Effervescent","No"
"10060249","BEROCCA PLUS  ef x10 AR","1600293","Nutritionals","Pharma","Active","Active","Yes","Panama [PA];Venezuela [VE];Argentina [AR]","Argentina","LATAM","Tube Rigid","10","Piece [PCE]","","","NO","Nutritionals","BEROCCA","1600293","BEROCCA Ca & Mg, Zn Effervescent Tablet","Solid|Tablet|Effervescent","  70 ","  100 ","  99 ","SG (Sales Goods)","Tube Rigid","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"10067986","CAL C VITA ef x30 AR","1600109","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","CAL-C-VITA","1600109","CAL-C-VITA Effervescent Tablet","Solid|Tablet|Effervescent","  70 ","  80 ","  70 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"81400440","Alka Seltzer EFF 10S PY","1600001","Digestive Health","Pharma","Active","Active","Yes","Bolivia [BO];Paraguay [PY]","Other Conosur","LATAM","Sachet","10","Piece [PCE]","","","NO","Digestive Health","ALKA-SELTZER","1600001","ALKA SELTZER Effervescent Tablet","Solid|Tablet|Effervescent","  568 ","  594 ","  550 ","SG (Sales Goods)","Sachet","10","Piece [PCE]","VI","X","NO","Solid|Tablet|Effervescent","No"
"4410797","COBENEXOL FTE laq x30 AR","1600121","Nutritionals","Pharma","Active","Active","Yes","Argentina [AR]","Argentina","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","BENEXOL","1600121","BENEXOL Forte Film-coated Tablet","Solid|Tablet|Film-coated","  90 ","  79 ","  77 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"4410800","SUPRADYN FTE grag x30 AR","1600128","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","SUPRADYN","1600128","SUPRADYN 3 RDA Sugar-coated Tablet","Solid|Tablet|Sugar-coated","  615 ","  660 ","  595 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Sugar-coated","No"
"10066290","REDOXON DA ef x10 UY","1600107","Nutritionals","Pharma","Active","Active","Yes","Panama [PA];Uruguay [UY];Venezuela [VE]","Other Conosur","LATAM","Tube Rigid","10","Piece [PCE]","","","NO","Nutritionals","REDOXON","1600107","REDOXON Zinc Effervescent Tablet","Solid|Tablet|Effervescent","  30 ","  39 ","  37 ","SG (Sales Goods)","Tube Rigid","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"4443067","ASPIRINA 0.5 G 40S","1600005","Analgesics","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Blister","40","Piece [PCE]","","","NO","Analgesics","ASPIRIN PAIN","1600005","ASPIRIN PAIN 500 mg Plain Tablet","Solid|Tablet|Plain","  4,194 ","  4,694 ","  5,111 ","SG (Sales Goods)","Blister","40","Piece [PCE]","IX","","NO","Solid|Tablet|Plain","No"
"4443113","CAFIASPIRINA 40´S","1600136","Analgesics","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Blister","40","Piece [PCE]","","","NO","Analgesics","ASPIRIN PAIN","1600136","ASPIRIN PAIN Forte Plain Tablet","Solid|Tablet|Plain","  3,581 ","  3,469 ","  3,524 ","SG (Sales Goods)","Blister","40","Piece [PCE]","IX","","NO","Solid|Tablet|Plain","No"
"80121524","ACTRON RAP ACC cap x20 AR","1601233","Analgesics","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","20","Piece [PCE]","","","NO","Analgesics","ACTRON","1601233","ACTRON  400 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  2,350 ","  2,900 ","  2,798 ","SG (Sales Goods)","Blister","20","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"80121598","EMPECID GYNO 0,2g ov x3 CC AR","1601243","Dermatology","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","3","Piece [PCE]","","","NO","Dermatology","CANESTEN GYNE","1601243","CANESTEN GYNE Empecid 200 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  55 ","  70 ","  66 ","SG (Sales Goods)","Blister","3","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"4452686","ASPIRIN PLUS C 400 MG 100 ST","1600148","Cough & Cold","Pharma","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Blister","100","Piece [PCE]","","","NO","Cough & Cold","ASPIRIN PLUS C","1600148","ASPIRIN PLUS C 400 mg Effervescent Tablet","Solid|Tablet|Effervescent","  35 ","  55 ","  46 ","SG (Sales Goods)","Blister","100","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"4443164","ASPIRINA EF 12'S NVA IMAGEN","1600139","Analgesics","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","12","Piece [PCE]","","","NO","Analgesics","ASPIRIN PAIN","1600139","ASPIRIN PAIN 500 mg Effervescent Tablet","Solid|Tablet|Effervescent","  1,540 ","  1,525 ","  1,718 ","SG (Sales Goods)","Sachet","12","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"4443148","CAFIASPIRINA 100'S SNVAIMAGE","1600136","Analgesics","Pharma","Active","Phase-Out","No","Mexico [MX]","Mexico","LATAM","Blister","100","Piece [PCE]","","","NO","Analgesics","ASPIRIN PAIN","1600136","ASPIRIN PAIN Forte Plain Tablet","Solid|Tablet|Plain","  1,232 ","  1,451 ","  1,246 ","SG (Sales Goods)","Blister","100","Piece [PCE]","IX","","NO","Solid|Tablet|Plain","No"
"80121597","EMPECID GYNO 0,1g ov x6 AR","1601236","Dermatology","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","6","Piece [PCE]","","","NO","Dermatology","CANESTEN GYNE","1601236","CANESTEN GYNE Empecid 100 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  45 ","  50 ","  49 ","SG (Sales Goods)","Blister","6","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"4443571","CANESTEN V OVULOS DUAL","1600012","Dermatology","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Combi","1","Piece [PCE]","","","NO","Dermatology","CANESTEN GYNE","1600012","CANESTEN GYNE 2 % Cream","Semi-solid|Cream","  489 ","  532 ","  530 ","SG (Sales Goods)","Combi","1","Piece [PCE]","IX","","NO","Semi-solid|Cream","No"
"11873230","EMPECID cre x20g AR","1600085","Dermatology","Pharma","Active","Active","Yes","Argentina [AR]","Argentina","LATAM","Tube Flexible","20","Gram [G]","","","NO","Dermatology","CANESTEN GYNE","1600085","CANESTEN GYNE 1 % Cream","Semi-solid|Cream","  750 ","  790 ","  725 ","SG (Sales Goods)","Tube Flexible","20","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"4443261","MERTHIOLATE BLANCO 30 ML","1600924","Dermatology","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Bottle","30","Millilitre [ML]","","","NO","Dermatology","MERTHIOLATE","1600924","MERTHIOLATE Blanco 0.27 % Lotion","Liquid|Lotion","  225 ","  220 ","  203 ","SG (Sales Goods)","Bottle","30","Millilitre [ML]","IX","","NO","Liquid|Lotion","No"
"4438179","TABCIN COMPUESTO cap x20 AR","1601232","Cough & Cold","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","20","Piece [PCE]","","","NO","Cough & Cold","TABCIN","1601232","TABCIN Compuesto Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  120 ","  160 ","  139 ","SG (Sales Goods)","Blister","20","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"4460220","ACTRON 200 cap x10 UY","1601246","Analgesics","Pharma","Active","Active","Yes","Uruguay [UY]","Other Conosur","LATAM","Blister","10","Piece [PCE]","","","NO","Analgesics","ACTRON","1601246","ACTRON 200 mg Soft Gelatine Capsules","Solid|Capsule|Soft Gelatine Capsules","  8 ","  12 ","  11 ","SG (Sales Goods)","Blister","10","Piece [PCE]","IV","X","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"11873226","Canesten Crema 1% 20g CL","1600085","Dermatology","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Tube Flexible","20","Gram [G]","","","NO","Dermatology","CANESTEN GYNE","1600085","CANESTEN GYNE 1 % Cream","Semi-solid|Cream","  249 ","  258 ","  211 ","SG (Sales Goods)","Tube Flexible","20","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"4443245","TABCIN 60'S","1600133","Cough & Cold","Pharma","Active","Phase-Out","No","Mexico [MX]","Mexico","LATAM","Blister","60","Piece [PCE]","","","NO","Cough & Cold","TABCIN","1600133","TABCIN Effervescent Tablet","Solid|Tablet|Effervescent","  159 ","  228 ","  153 ","SG (Sales Goods)","Blister","60","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"4443318","MERTHIOLATE BLANCO 60 ML C/AT","1600924","Dermatology","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Bottle","60","Millilitre [ML]","","","NO","Dermatology","MERTHIOLATE","1600924","MERTHIOLATE Blanco 0.27 % Lotion","Liquid|Lotion","  137 ","  167 ","  149 ","SG (Sales Goods)","Bottle","60","Millilitre [ML]","IX","","NO","Liquid|Lotion","No"
"11873263","Canesten Crema 1% 20g BR","1600085","Dermatology","Pharma","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Tube Flexible","20","Gram [G]","","","NO","Dermatology","CANESTEN GYNE","1600085","CANESTEN GYNE 1 % Cream","Semi-solid|Cream","  315 ","  293 ","  285 ","SG (Sales Goods)","Tube Flexible","20","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"81616116","Bepanthen Crema 100g PE","1600188","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Peru [PE]","Peru","LATAM","Tube Flexible","100","Gram [G]","03/27/2013 02:57:19 PM CET","2013","NO","Dermatology","BEPANTHEN","1600188","BEPANTHEN 5 % Cream","Semi-solid|Cream","  102 ","  109 ","  128 ","SG (Sales Goods)","Tube Flexible","100","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"11873239","Baycuten Crema 40g BR","1600203","Dermatology","Pharma","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Tube Flexible","40","Gram [G]","","","NO","Dermatology","BAYCUTEN","1600203","BAYCUTEN Cream","Semi-solid|Cream","  128 ","  143 ","  125 ","SG (Sales Goods)","Tube Flexible","40","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"11873241","Gino Canesten Crema 2% 20g BR","1600012","Dermatology","Pharma","Active","Active","Yes","Brazil [BR]","Brazil","LATAM","Tube Flexible","20","Gram [G]","","","NO","Dermatology","CANESTEN GYNE","1600012","CANESTEN GYNE 2 % Cream","Semi-solid|Cream","  430 ","  406 ","  410 ","SG (Sales Goods)","Tube Flexible","20","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"4443237","TABCIN 12'S","1600133","Cough & Cold","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Blister","12","Piece [PCE]","","","NO","Cough & Cold","TABCIN","1600133","TABCIN Effervescent Tablet","Solid|Tablet|Effervescent","  932 ","  845 ","  1,032 ","SG (Sales Goods)","Blister","12","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"10060251","BEROCCA PLUS ef x30 AR","1600293","Nutritionals","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Tube Rigid","30","Piece [PCE]","","","NO","Nutritionals","BEROCCA","1600293","BEROCCA Ca & Mg, Zn Effervescent Tablet","Solid|Tablet|Effervescent","  450 ","  360 ","  344 ","SG (Sales Goods)","Tube Rigid","30","Piece [PCE]","VI","X","NO","Solid|Tablet|Effervescent","No"
"10041582","BPN CREA 5%/0 ALU TUBE COLL 100G CO","1600188","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Tube Flexible","100","Gram [G]","","","NO","Dermatology","BEPANTHEN","1600188","BEPANTHEN 5 % Cream","Semi-solid|Cream","  26 ","  30 ","  31 ","SG (Sales Goods)","Tube Flexible","100","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"10066848","BEROCCA PLUS ef x30 CL","1600293","Nutritionals","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Tube Rigid","30","Piece [PCE]","","","NO","Nutritionals","BEROCCA","1600293","BEROCCA Ca & Mg, Zn Effervescent Tablet","Solid|Tablet|Effervescent","  5 ","  5 ","  5 ","SG (Sales Goods)","Tube Rigid","30","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"4443180","ASPIRINA EF 60'S NV IMAGEN","1600139","Analgesics","Pharma","Active","Active","No","Mexico [MX]","Mexico","LATAM","Sachet","60","Piece [PCE]","","","NO","Analgesics","ASPIRIN PAIN","1600139","ASPIRIN PAIN 500 mg Effervescent Tablet","Solid|Tablet|Effervescent","  132 ","  203 ","  170 ","SG (Sales Goods)","Sachet","60","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"56993286","CAFIASPIRINA,(100 CPR)","1600007","Analgesics","Pharma","Active","Active","No","Brazil [BR]","Brazil","LATAM","Blister","100","Piece [PCE]","","","NO","Analgesics","ASPIRIN PAIN","1600007","ASPIRIN PAIN CafiAspirina 650/65 Plain Tablet","Solid|Tablet|Plain","  10 ","  20 ","  12 ","SG (Sales Goods)","Blister","100","Piece [PCE]","IX","","NO","Solid|Tablet|Plain","No"
"80787561","APRONAX 275MG  X 24 TAB CO","1601122","Analgesics","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","24","Piece [PCE]","10/11/2011 10:32:50 PM CEST","2011","NO","Analgesics","APRONAX","1601122","APRONAX  275 mg Film-coated Tablet","Solid|Tablet|Film-coated","  12 ","  16 ","  12 ","SG (Sales Goods)","Blister","24","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"80787529","APRONAX 550MG X 60 TAB CO","1601126","Analgesics","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","60","Piece [PCE]","11/10/2011 10:54:43 PM CET","2011","NO","Analgesics","APRONAX","1601126","APRONAX  550 mg Film-coated Tablet","Solid|Tablet|Film-coated","  45 ","  40 ","  37 ","SG (Sales Goods)","Blister","60","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"80787510","APRONAX 550MG X 20 TAB CO","1601126","Analgesics","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","20","Piece [PCE]","11/10/2011 10:54:40 PM CET","2011","NO","Analgesics","APRONAX","1601126","APRONAX  550 mg Film-coated Tablet","Solid|Tablet|Film-coated","  48 ","  61 ","  49 ","SG (Sales Goods)","Blister","20","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"80787588","APRONAX 275MG X 64 TAB CO","1601122","Analgesics","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","64","Piece [PCE]","10/11/2011 10:32:52 PM CEST","2011","NO","Analgesics","APRONAX","1601122","APRONAX  275 mg Film-coated Tablet","Solid|Tablet|Film-coated","  11 ","  7 ","  6 ","SG (Sales Goods)","Blister","64","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"80592302","TABCIN PLUS RA cap x20 AR","1610784","Cough & Cold","Pharma","Active","Active","No","Argentina [AR]","Argentina","LATAM","Blister","20","Piece [PCE]","05/26/2011 03:43:19 PM CEST","2011","NO","Cough & Cold","TABCIN","1610784","TABCIN RA Plus Soft Gelatine Capsule","Solid|Capsule|Soft Gelatine Capsules","  140 ","  170 ","  160 ","SG (Sales Goods)","Blister","20","Piece [PCE]","VI","X","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"80787545","APRONAX 275MG  X 8 TAB CO","1601122","Analgesics","Pharma","Active","Active","Yes","Colombia [CO]","Colombia","LATAM","Blister","8","Piece [PCE]","10/11/2011 10:32:49 PM CEST","2011","NO","Analgesics","APRONAX","1601122","APRONAX  275 mg Film-coated Tablet","Solid|Tablet|Film-coated","  27 ","  30 ","  20 ","SG (Sales Goods)","Blister","8","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"81170835","APRONAX 275MG LG X 8 CAP","1611106","Analgesics","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Blister","8","Piece [PCE]","05/26/2012 12:35:08 AM CEST","2012","NO","Analgesics","APRONAX","1611106","APRONAX 275 mg Soft Gelatine Capsules ","Solid|Capsule|Soft Gelatine Capsules","  492 ","  667 ","  653 ","SG (Sales Goods)","Blister","8","Piece [PCE]","VI","X","NO","Solid|Capsule|Soft Gelatine Capsules","No"
"81170851","APRONAX 275MG LG X 50 CAP","1611106","Analgesics","Pharma","Active","Active","No","Colombia [CO]","Colombia","LATAM","Blister","50","Piece [PCE]","05/26/2012 12:35:10 AM CEST","2012","NO","Analgesics","APRONAX","1611106","APRONAX 275 mg Soft Gelatine Capsules ","Solid|Capsule|Soft Gelatine Capsules","  75 ","  79 ","  77 ","SG (Sales Goods)","Blister","50","Piece [PCE]","IX","","NO","Solid|Capsule|Soft Gelatine Capsules","No"
